key,data_source,experiment_plant_id,experiment_flower_id,flower_visiting_hour,flower_visiting_time,flower_herkogamy,flower_visitor_coupling,visitor_intertegular,visitor_thorax_width,visitor_abdomen_width,visitor_species,visitor_touched_stigma,visitor_handling_time,visitor_grooming_time,visitor_buzzing_time,visitor_pulse_n,visitor_buzzing_pulse_ratio,visitor_displacement_mean,visitor_displacement_max,visitor_displacement_sum,visitor_frequency_mean,visitor_frequency_sd,visitor_frequency_max,visitor_amplitude_mean,visitor_amplitude_sd,visitor_amplitude_min,visitor_amplitude_max,pollen_deposited_n,fruiting_presence,fruit_placentation_n,seed_viable_n,seed_inviable_n,seed_lost_n,seed_viable_ratio,pollen_remained_n,pollen_removed_n
BB2023_000001,experiment,D11,B001,06:50,0,NA,NA,5.15,7.41,7.29,Bombus_morio,TRUE,26,8,18,16,1.13,18.86,109.35,282.94,141.2,19.1,190,-30.68,7.97,-32.7,-25.1,23,TRUE,15,4,11,0,0.3,12333,896334
BB2023_000002,experiment,D16,B002,07:15,25,NA,NA,3.35,7.03,9.26,Bombus_morio,TRUE,120,40,56,44,1.27,37.86,173.45,1627.77,173.9,14.06,202,-27.61,8.02,-41.8,-16.6,39,TRUE,17,14,3,0,0.8,7333,901334
BB2023_000003,experiment,D30,B003,07:40,50,NA,NA,3.74,5.81,7.58,Bombus_morio,TRUE,27,0,14,16,0.88,41.21,176.77,618.14,140.75,14.07,159,-34.19,0.54,-35,-33,25,TRUE,19,13,6,0,0.7,41667,867000
BB2023_000004,experiment,D03,G001,07:49,59,NA,NA,4.1,5.05,6.24,Bombus_morio,TRUE,14,2,7,9,0.78,34.63,163.15,277.03,157,14.08,172,-44.56,0.53,-45,-44,3,FALSE,NA,NA,NA,NA,NA,53333,855334
BB2023_000005,experiment,D06,G002,08:14,84,NA,NA,6.13,7.86,7.72,Bombus_morio,TRUE,33,4,24,21,1.14,31.95,129.45,638.99,174.7,14.09,273,-43.57,1.03,-45,-41,23,TRUE,17,12,1,4,0.7,10000,898667
BB2023_000006,experiment,D27,B004,06:20,0,NA,NA,7.75,10.02,9.07,Eulaema_nigrita,TRUE,17,NA,6,2,3,NA,NA,NA,207.5,14.1,211,-35.8,1.56,-36.9,-34.7,11,TRUE,14,9,5,0,0.6,NA,NA
BB2023_000007,experiment,D08,G003,06:30,10,NA,NA,7.88,9.57,9.98,Xylocopa_sp,TRUE,9,NA,5,2,2.5,NA,NA,NA,150.5,14.11,157,-45.5,0.71,-46,-45,34,TRUE,17,16,1,0,0.9,NA,NA
BB2023_000008,experiment,D21,B005,06:40,20,NA,NA,5.33,5.65,8.39,Bombus_morio,TRUE,80,21,32,18,1.78,21.86,67.35,371.6,204.33,14.12,240,-25.77,4.83,-34.6,-17.7,25,TRUE,18,17,1,0,0.9,15667,893000
BB2023_000009,experiment,D12,B006,07:29,69,NA,NA,6.44,7.53,8.89,Eulaema_nigrita,TRUE,11,NA,5,3,1.67,NA,NA,NA,197.67,14.13,199,-34.97,4.01,-39.3,-31.4,67,TRUE,16,8,8,0,0.5,NA,NA
BB2023_000010,experiment,D24,B007,07:54,94,NA,NA,3.85,4.66,4.99,Centris_tarsata,TRUE,35,NA,8,5,1.6,NA,NA,NA,200,14.14,237,-33.14,4.22,-39.9,-29.6,70,TRUE,18,16,2,0,0.9,NA,NA
BB2023_000011,experiment,D08,B008,06:36,0,6,-3.87,5.31,8.17,9.87,Bombus_morio,TRUE,33,9,18,8,2.25,27.11,94.93,189.74,194.25,14.15,207,-26.34,1.75,-30.4,-24.8,28,TRUE,18,18,0,0,1,69000,839667
BB2023_000012,experiment,D01,B009,06:48,12,4.2,-3.58,6.25,10.83,7.78,Xylocopa_sp,TRUE,7,NA,4,1,4,NA,NA,NA,193,14.16,193,-30.7,0,-30.7,-30.7,16,FALSE,NA,NA,NA,NA,NA,NA,NA
BB2023_000013,experiment,D20,B010,07:15,39,2.7,-7.21,5.24,8.98,9.91,Bombus_morio,TRUE,28,1,22,21,1.05,42.44,175.47,848.77,185.1,14.17,235,-27.83,4.87,-37.4,-16.3,40,TRUE,19,15,4,0,0.8,41333,867334
BB2023_000014,experiment,D30,G004,06:15,0,3.4,-7.11,7.34,9.94,10.51,Eulaema_nigrita,TRUE,6,NA,5,1,5,NA,NA,NA,186,14.18,186,-45.1,6.72,-45.1,-45.1,22,TRUE,18,7,11,0,0.4,NA,NA
BB2023_000015,experiment,D15,G005,06:36,21,5,-3.29,5.5,7.58,8.29,Bombus_morio,TRUE,47,27,17,10,1.7,6.16,19.45,55.42,229.7,14.19,250,-27.87,7.34,-39.8,-19.4,NA,TRUE,18,16,2,0,0.9,61000,847667
BB2023_000016,experiment,D28,G006,06:40,25,6,-2.17,6.61,7.74,8.17,Eulaema_nigrita,TRUE,4,NA,4,1,4,NA,NA,NA,204,14.2,204,-34.1,0,-34.1,-34.1,11,TRUE,19,6,13,0,0.3,NA,NA
BB2023_000017,experiment,D08,G007,07:45,90,4.2,-2.28,4.03,5.1,6.48,Melipona_sp,FALSE,4,NA,3,1,3,NA,NA,NA,224,14.21,224,-31.7,0,-31.7,-31.7,14,TRUE,15,2,13,0,0.1,NA,NA
BB2023_000018,experiment,D12,G008,08:25,130,4.5,-3.36,7.45,8.18,7.86,Bombus_morio,TRUE,64,29,24,27,0.89,27.49,132.38,714.74,223.54,14.22,271,-28.92,7.23,-38.6,-21.3,48,FALSE,NA,NA,NA,NA,NA,6333,902334
BB2023_000019,experiment,D01,G009,08:50,155,5.6,-5.77,7,9.54,11.37,Bombus_morio,TRUE,50,21,10,10,1,35.42,114.05,318.81,254,14.23,281,-32.38,4.1,-40,-26.5,52,FALSE,NA,NA,NA,NA,NA,20000,888667
BB2023_000020,experiment,D30,G010,06:35,0,5.6,-2.63,4.89,7.88,8.23,Bombus_morio,TRUE,27,12,8,13,0.62,30.81,138.13,369.7,243.54,14.24,258,-29.15,4.42,-36.5,-21,56,TRUE,18,12,5,1,0.7,14667,894000
BB2023_000021,experiment,D12,G011,07:00,25,5,2.71,1.58,1.75,2.29,Augochoropsis_sp,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.25,NA,NA,NA,NA,0,45,FALSE,NA,NA,NA,NA,NA,NA,NA
BB2023_000022,experiment,D23,G012,06:32,0,5.8,-2.25,6.23,7.58,8.05,Bombus_morio,TRUE,67,32,27,31,0.87,30.31,178.98,909.19,231.32,14.26,260,-25.54,5.86,-40.9,-16.4,76,TRUE,15,6,9,0,0.4,12000,896667
BB2023_000023,experiment,D14,B011,06:35,3,4.5,-1.97,3.86,6.19,6.47,Bombus_morio,TRUE,50,15,24,20,1.2,20.94,66.2,397.79,220.35,14.27,269,-26.01,3.36,-31.4,-17.4,22,TRUE,7,1,6,0,0.1,13667,895000
BB2023_000024,experiment,D27,B012,07:00,28,3.6,-7.97,5.61,7.95,11.57,Bombus_morio,TRUE,20,NA,9,9,1,NA,NA,NA,207.44,14.28,217,-28.13,2.19,-31.7,-25.1,46,TRUE,16,11,5,0,0.7,9667,899000
BB2023_000025,experiment,D18,G013,07:02,30,4.8,-5.49,6.04,9.33,10.29,Bombus_morio,TRUE,140,91,49,41,1.2,15.52,114.48,620.96,131.6,14.29,148,-31.7,1.6,-33.9,-26.1,51,TRUE,16,14,2,0,0.9,8667,900000
BB2023_000026,experiment,D15,G014,07:20,48,4.6,-3.59,5.95,7.43,8.19,Bombus_morio,TRUE,89,33,33,41,0.8,25.13,158.77,1005.28,248.71,14.3,281,-23.29,4.11,-30.4,-12.3,39,TRUE,NA,NA,NA,NA,NA,25333,883334
BB2023_000027,experiment,D26,G015,07:45,73,5,-6.73,8.02,11.59,11.73,Bombus_morio,TRUE,26,9,8,13,0.62,22.19,142.74,266.33,262.85,14.31,279,-34.36,3.98,-41.6,-29.8,51,TRUE,16,9,3,4,0.6,46333,862334
BB2023_000028,experiment,D16,B013,06:29,0,5.9,-2.48,4.08,6,8.38,Bombus_morio,TRUE,137,61,43,33,1.3,27.95,163.12,894.5,189.4,14.32,227,-29.89,2.53,-35.9,-24.9,43,FALSE,NA,NA,NA,NA,NA,5667,903000
BB2023_000029,experiment,D21,B014,07:08,39,5.4,-1.64,2.45,5.52,7.04,Bombus_morio,TRUE,134,52,51,41,1.24,24.05,152.94,962.05,180.68,14.33,225,-28.78,2.97,-34.6,-22.7,49,TRUE,19,14,5,0,0.7,5333,903334
BB2023_000030,experiment,D02,B015,08:10,101,5.2,-3.72,5.09,10.32,8.92,Bombus_morio,TRUE,31,6,12,14,0.86,15.53,53.24,201.87,192.21,14.34,257,-29.68,7.26,-39.1,-15.3,109,TRUE,NA,NA,NA,NA,NA,5333,903334
BB2023_000031,experiment,D31,B016,08:18,109,4.8,-4.88,6.22,9.99,9.68,Bombus_morio,TRUE,8,1,5,8,0.63,5.34,34.07,37.36,213.25,14.35,233,-30.21,2.38,-33.8,-25.9,30,TRUE,19,15,4,0,0.8,5333,903334
BB2023_000032,experiment,D09,B017,06:28,0,4.8,-2.75,3.58,7.56,7.55,Bombus_morio,TRUE,7,1,6,6,1,13.72,60.64,68.62,120,14.36,131,-26.67,0.52,-27,-26,44,TRUE,NA,NA,NA,NA,NA,7000,901667
BB2023_000033,experiment,D12,G016,06:37,9,5,-6.53,7.81,11.14,11.53,Bombus_morio,TRUE,13,4,5,9,0.56,14.14,72.51,113.11,234.44,14.37,237,-24.79,2.5,-27.9,-20.6,27,TRUE,17,17,0,0,1,5667,903000
BB2023_000034,experiment,D04,G017,06:54,26,5.2,-3.46,7.7,9.09,8.66,Eulaema_nigrita,TRUE,9,0,8,1,8,0,0,0,167,14.38,167,-35,0,-35,-35,53,TRUE,14,12,2,0,0.9,2667,NA
BB2023_000035,experiment,D02,G018,06:49,0,6,-4.53,8.01,10.42,10.53,Bombus_morio,TRUE,16,0,7,1,7,0,0,0,169,14.39,169,-30.5,0,-30.5,-30.5,16,TRUE,16,15,1,0,0.9,13667,895000
BB2023_000036,experiment,D10,G019,06:52,0,6,-6.76,8.74,12.95,12.76,Bombus_morio,TRUE,36,11,15,22,0.68,NA,NA,NA,237.68,14.4,280,-25.67,5.8,-36.2,-14.4,18,TRUE,16,13,3,0,0.8,31667,877000
BB2023_000037,experiment,D22,G020,07:13,21,4.6,-3.61,6.69,9.86,8.21,Bombus_morio,TRUE,101,30,42,39,1.08,24.48,178.91,930.06,210.2,14.41,269,-27.96,6.45,-45.9,-12.5,21,TRUE,19,15,4,0,0.8,43667,865000
BB2023_000038,experiment,D29,G021,06:42,0,3.7,-4.06,5.46,7.96,7.76,Bombus_morio,TRUE,46,32,11,13,0.85,31.19,99.02,374.22,184.77,14.42,247,-31.36,2.78,-37.1,-28.6,6,TRUE,15,0,15,0,0,27667,881000
BB2023_000039,experiment,D05,G022,06:59,17,3.4,-13.58,11.49,15.32,16.98,Bombus_morio,TRUE,55,24,18,15,1.2,10.34,63.1,144.8,210.87,14.43,220,-17.1,3.25,-24.5,-13.2,13,TRUE,18,14,4,0,0.8,17667,891000
BB2023_000040,experiment,D18,G023,07:11,29,4,-5.07,6.51,8.57,9.07,Bombus_morio,TRUE,4,0,2,2,1,101.05,101.05,101.05,226.5,14.44,237,-32.25,1.91,-33.6,-30.9,31,TRUE,19,10,5,4,0.5,36667,872000
BB2023_000041,experiment,D23,G024,07:24,42,6,-3.5,7.36,9.87,9.5,Eulaema_nigrita,TRUE,7,NA,5,1,5,NA,NA,NA,194,14.45,194,-41.4,0,-41.4,-41.4,14,TRUE,18,10,8,0,0.6,NA,NA
BB2023_000042,experiment,D27,B018,06:21,0,3,-7.56,6.61,9.48,10.56,Bombus_morio,TRUE,30,20,10,6,1.67,25.57,81.46,127.87,196,14.46,212,-43.57,1.91,-46.3,-41.3,92,TRUE,14,0,14,0,0,63667,845000
BB2023_000043,experiment,D04,G025,06:33,12,5.8,-1.79,5.18,7.79,7.59,Bombus_morio,TRUE,40,20,16,16,1,17.44,112.34,261.54,230.44,14.47,245,-24.18,6.13,-34.6,-13.6,10,TRUE,12,5,7,0,0.4,58000,850667
BB2023_000044,experiment,D03,B019,06:38,17,5,-1.38,4.79,7.35,6.38,Bombus_morio,TRUE,47,25,22,14,1.57,33.99,172.11,441.85,193,14.48,239,-30,3.31,-37.1,-25.2,52,TRUE,19,9,10,0,0.5,49000,859667
BB2023_000045,experiment,D23,B020,06:58,37,6.2,0.42,3.8,5.55,5.78,Bombus_morio,TRUE,27,6,14,13,1.08,21.22,55.57,254.62,177.1,14.49,269,-30.3,3.86,-34.7,-22.4,67,TRUE,17,0,17,0,0,34000,874667
BB2023_000046,experiment,D30,B021,07:08,47,3.7,-4.48,3.96,7.69,8.18,Bombus_morio,TRUE,14,4,10,10,1,60.41,176.67,543.7,169.6,14.5,175,-30.76,2.54,-35.7,-26.8,35,FALSE,NA,NA,NA,NA,NA,51333,857334
BB2023_000047,experiment,D18,B022,07:25,64,3.2,-5,5.87,7.14,8.2,Bombus_morio,TRUE,41,20,14,8,1.75,8.87,22.98,62.1,180.13,14.51,210,-27.86,4.25,-31.9,-18.3,35,TRUE,15,10,5,0,0.7,28667,880000
BB2023_000048,experiment,D06,B023,06:21,0,4.3,-4.2,5.2,7.1,8.5,Eulaema_nigrita,TRUE,11,0,4,2,2,37.48,37.48,37.48,206.5,14.52,211,-31.1,0.57,-31.5,-30.7,32,FALSE,NA,NA,NA,NA,NA,37333,NA
BB2023_000049,experiment,D30,G026,06:24,3,5,-1.82,5.35,7.65,6.82,Bombus_morio,TRUE,14,3,9,9,1,44.46,160.53,355.71,123.78,14.53,133,-44.57,0.89,-46,-43,22,FALSE,NA,NA,NA,NA,NA,52000,856667
BB2023_000050,experiment,D01,B024,07:28,67,4.1,-3.36,6.24,8.83,7.46,Eulaema_nigrita,TRUE,19,0,4,2,2,18.68,18.68,18.68,204,14.54,206,-32.75,2.33,-34.4,-31.1,NA,TRUE,17,13,4,0,0.8,5667,NA
BB2023_000051,experiment,D31,B025,06:14,0,5.1,-3.41,5.67,7.68,8.51,Bombus_morio,TRUE,12,0,9,10,0.9,25.43,179.62,228.89,197.5,14.55,240,-36.76,7.09,-43.8,-23.5,13,TRUE,19,17,2,0,0.9,10333,898334
BB2023_000052,experiment,D14,B026,06:30,16,6,-3.78,5.94,9.45,9.78,Eulaema_nigrita,NA,7,0,7,1,7,0,0,0,199.5,14.56,202,-33.4,5.72,-41.9,-29.9,38,TRUE,18,13,5,0,0.7,5000,NA
BB2023_000053,experiment,D11,B027,06:50,36,3.5,-9.53,6.68,9.81,13.03,Bombus_morio,TRUE,8,1,4,6,0.67,8.92,24.12,44.58,194.67,14.57,204,-31.45,2.6,-33.7,-27,32,TRUE,18,10,8,0,0.6,11667,897000
BB2023_000054,experiment,D09,B028,06:59,45,6.1,-3.02,5.88,8.59,9.12,Bombus_morio,TRUE,23,12,8,6,1.33,14.03,28.09,70.13,193.17,14.58,240,-28.23,2.11,-31.4,-25.2,57,TRUE,18,16,0,2,0.9,21667,887000
BB2023_000055,experiment,D13,B029,07:13,59,3.5,-4.33,5.07,8.38,7.83,Bombus_morio,TRUE,25,17,5,2,2.5,166.05,166.05,166.05,181,14.59,189,-49.75,4.45,-52.9,-46.6,56,TRUE,19,16,3,2,0.8,20667,888000
BB2023_000056,experiment,D08,B030,07:28,74,2.7,-1.71,3.09,4.41,4.41,Melipona_sp,NA,144,NA,4,15,0.27,NA,NA,NA,196.2,14.6,225,-29.13,2.8,-32.1,-22,135,TRUE,17,10,7,0,0.6,NA,NA
BB2023_000057,experiment,D26,B031,08:07,113,6,-5.01,7.46,8.75,11.01,Bombus_morio,TRUE,27,8,17,8,2.13,25.3,71.82,177.08,194.88,14.61,223,-29.71,3.29,-35.3,-24.8,73,TRUE,19,16,3,0,0.8,8000,900667
BB2023_000058,experiment,D05,B032,06:17,0,5.2,-7.81,7.47,11.32,13.01,Bombus_morio,TRUE,4,1,3,2,1.5,2.07,2.07,2.07,201.5,14.62,208,-40.55,4.88,-44,-37.1,54,TRUE,14,11,3,0,0.8,13333,895334
BB2023_000059,experiment,D02,B033,06:31,14,4.6,-7.48,6.94,9.05,12.08,Bombus_morio,TRUE,6,1,5,5,1,1.48,5.93,5.93,190.6,14.63,219,-23.88,9.2,-32.8,-9.6,42,TRUE,NA,NA,NA,NA,NA,9667,899000
BB2023_000060,experiment,D12,B034,06:40,23,3.7,-4.46,5.47,7.1,8.16,Bombus_morio,TRUE,69,36,16,21,0.76,44.2,178.44,883.99,213.71,14.64,301,-25.13,15.35,-38.2,37.4,29,TRUE,13,6,7,0,0.5,29000,879667
BB2023_000061,experiment,D01,B035,07:15,58,5.6,-4.2,6.14,8.92,9.8,Bombus_morio,TRUE,24,8,5,7,0.71,15.17,49.91,91,211.57,14.65,267,-28.76,1.61,-30.6,-26.8,36,TRUE,18,1,13,4,0.1,6000,902667
BB2023_000062,experiment,D29,B036,07:34,77,3.2,-4.92,5.59,8.62,8.12,Bombus_morio,TRUE,21,8,16,10,1.6,17.56,116.47,158.05,156.7,14.66,214,-36.64,5,-41.4,-23.6,29,TRUE,NA,NA,NA,NA,NA,30667,878000
BB2023_000063,experiment,D07,B037,08:00,103,5.9,-3.55,5.82,8.45,9.45,Bombus_morio,TRUE,22,2,7,12,0.58,13.11,50.88,144.16,200.5,14.67,214,-30.08,2.63,-35.3,-26.7,27,TRUE,17,3,12,2,0.2,4000,904667
BB2023_000064,experiment,D27,B038,06:18,0,4.7,-4.14,6,8.91,8.84,Bombus_morio,TRUE,4,1,3,3,1,20.38,40.75,40.75,241.33,14.68,244,-24.83,1.94,-26.1,-22.6,33,TRUE,17,10,7,0,0.6,30333,878334
BB2023_000065,experiment,D14,G027,06:23,5,3.8,-9.29,9.45,11.23,13.09,Bombus_morio,TRUE,6,1,4,2,2,9.11,9.11,9.11,194.5,14.69,200,-36,1.56,-37.1,-34.9,44,TRUE,18,15,3,0,0.8,38333,870334
BB2023_000066,experiment,D16,B039,06:34,16,5.9,-4.36,6.07,10.15,10.26,Bombus_morio,TRUE,23,18,5,5,1,2.71,10.15,10.83,181.8,14.7,192,-30,3.23,-35.1,-27.3,33,TRUE,15,12,3,0,0.8,25667,883000
BB2023_000067,experiment,D26,G028,06:42,24,5,-3.67,6.31,8.78,8.67,Bombus_morio,TRUE,73,38,23,23,1,35.57,179.23,782.48,244.87,14.71,262,-25.85,9.14,-44.7,-10.7,26,TRUE,18,12,6,0,0.7,58000,850667
BB2023_000068,experiment,D05,B040,06:49,31,3.3,-7.14,4.98,8.43,10.44,Xylocopa_sp,TRUE,6,0,6,2,3,31.35,31.35,31.35,186,14.72,199,-29.15,0.78,-29.7,-28.6,18,TRUE,18,15,3,0,0.8,15333,NA
BB2023_000069,experiment,D28,G029,06:58,40,5.7,-6.41,8.15,11.27,12.11,Bombus_morio,TRUE,40,19,12,14,0.86,7.8,32.21,101.45,206.77,14.73,212,-28.77,5.4,-36.5,-19.2,0,FALSE,NA,NA,NA,NA,NA,57667,851000
BB2023_000070,experiment,D12,B041,07:02,44,5.2,-5.37,6.58,10.6,10.57,Bombus_morio,TRUE,10,2,7,7,1,18.55,54.65,111.27,217.43,14.74,231,-28.97,2,-32,-26.3,48,TRUE,19,17,2,0,0.9,31333,877334
BB2023_000071,experiment,D06,B042,07:16,58,5,-6.5,6.52,10.83,11.5,Bombus_morio,TRUE,13,4,8,8,1,4.75,15.38,33.23,206,14.75,212,-31.88,2.83,-35.5,-28,47,TRUE,NA,NA,NA,NA,NA,13333,895334
BB2023_000072,experiment,D09,G030,07:18,60,4.6,-8.48,8.94,12.7,13.08,Bombus_morio,TRUE,12,1,6,10,0.6,23.21,96.34,208.9,208.1,14.76,236,-27.28,6.61,-34.3,-18.4,61,TRUE,19,14,3,2,0.7,35000,873667
BB2023_000073,experiment,D13,G031,07:32,74,6.7,-6.06,7.66,10.14,12.76,Bombus_morio,TRUE,14,9,5,4,1.25,12.72,20.07,38.17,209.25,14.77,218,-19.35,2.94,-22.1,-16.2,21,TRUE,20,18,2,0,0.9,19333,889334
BB2023_000074,experiment,D24,B043,07:33,75,4.9,-7.89,6.75,10.83,12.79,Bombus_morio,TRUE,18,7,8,6,1.33,10.5,27.48,52.48,202.33,14.78,208,-29.57,5.56,-34.9,-21.1,98,TRUE,18,13,5,0,0.7,8000,900667
BB2023_000075,experiment,D28,B044,07:41,83,5.1,-6.5,6.56,9.58,11.6,Bombus_morio,TRUE,12,1,8,9,0.89,6.56,24.56,52.5,208.89,14.79,226,-29.21,2.9,-35.4,-25.9,36,TRUE,19,12,7,0,0.6,10333,898334
BB2023_000076,experiment,D08,G032,08:00,102,5,-7.15,8.08,10.55,12.15,Bombus_morio,TRUE,27,4,9,11,0.82,8.81,23.63,88.09,212.45,14.8,231,-34.36,8.2,-46.4,-24.3,23,TRUE,15,1,14,0,0.1,7333,901334
BB2023_000077,experiment,D13,B045,08:05,107,5.6,-4.33,5.06,9.7,9.93,Bombus_morio,TRUE,33,11,13,12,1.08,9.81,34.36,107.91,207.67,14.81,217,-32.12,9.19,-46.2,-18.3,58,TRUE,17,13,4,0,0.8,6667,902000
BB2023_000078,experiment,D03,G033,08:33,135,5,-9.67,10.03,12.85,14.67,Bombus_morio,TRUE,37,9,12,17,0.71,13.02,60.41,208.24,207.59,14.82,226,-31.71,11.72,-49.8,-19.5,40,TRUE,17,13,4,0,0.8,4000,904667
