species_accepted,species_reported,section_Cota_2025,nodulation_presence,bacteroid_type,nodulation_reference
Chamaecrista_absus,Chamaecrista_absus,Absus,TRUE,SYM,Naisbitt_1992
Chamaecrista_adiantifolia,Chamaecrista_adiantifolia,Apoucouita,TRUE,FT,de_Faria_2022
Chamaecrista_apoucouita,Chamaecrista_apoucouita,Apoucouita,TRUE,na,Pons_2007
Chamaecrista_aspleniifolia,Chamaecrista_aspleniifolia,Apoucouita,TRUE,na,de_Faria_unpublished
Chamaecrista_arrojadoana,Chamaecrista_arrojadoana,Chamaecrista,TRUE,FT-SYM,Casaes_2024
Chamaecrista_bahiae,Chamaecrista_bahiae,Apoucouita,TRUE,FT,Casaes_2024
Chamaecrista_belemii,Chamaecrista_belemii,Absus,TRUE,FT-SYM,Casaes_2024
Chamaecrista_biensis,Chamaecrista_biensis,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_x_blanchetiformis,Chamaecrista_x_blanchetiformis,Baseophyllum,TRUE,FT,Casaes_2024
Chamaecrista_blanchetii,Chamaecrista_blanchetii,Baseophyllum,TRUE,FT,Casaes_2024
Chamaecrista_brachystachya,Chamaecrista_brachystachya,Baseophyllum,TRUE,FT,Casaes_2024
Chamaecrista_calycioides,Chamaecrista_calycioides,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_cathartica,Chamaecrista_cathartica,Absus,TRUE,na,de_Faria_unpublished
Chamaecrista_chapadae,Chamaecrista_chapadae,Absus,TRUE,SYM,James_Whitty_Sprent_unpublished
Chamaecrista_choriophylla,Chamaecrista_choriophylla,Chamaecrista,TRUE,na,James_Whitty_Sprent_unpublished
Chamaecrista_ciliolata,Chamaecrista_ciliolata,Absus,TRUE,na,de_Faria_unpublished
Chamaecrista_conferta,Chamaecrista_conferta,Absus,TRUE,na,Sprent_2009
Chamaecrista_confertiformis,Chamaecrista_confertiformis,Baseophyllum,TRUE,FT,Casaes_2024
Chamaecrista_coradinii,Chamaecrista_coradinii,Absus,TRUE,na,Sprent_2009
Chamaecrista_cultrifolia,Chamaecrista_cultrifolia,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_cytisoides,Chamaecrista_cytisoides,Baseophyllum,TRUE,SYM-FT,James_Whitty_Sprent_unpublished
Chamaecrista_debilis,Chamaecrista_debilis,Otophyllum,TRUE,na,Nogueira_upublished
Chamaecrista_decora,Chamaecrista_decora,Baseophyllum,TRUE,na,Nogueira_upublished
Chamaecrista_decumbens,Chamaecrista_decumbens,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_dentata,Chamaecrista_dentata,Absus,TRUE,na,de_Faria_unpublished
Chamaecrista_desvauxii,Chamaecrista_desvauxii,Chamaecrista,TRUE,FT-SYM,Naisbitt_1992; Casaes_2024
Chamaecrista_diphylla,Chamaecrista_diphylla,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_distichoclada,Chamaecrista_distichoclada,Chamaecrista,TRUE,na,Nogueira_upublished
Chamaecrista_duartei,Chamaecrista_duartei,Apoucouita,TRUE,FT,Casaes_2024
Chamaecrista_eitenorum,Chamaecrista_eitenorum,Apoucouita,TRUE,FT,Casaes_2024
Chamaecrista_ensiformis,Chamaecrista_ensiformis,Apoucouita,TRUE,FT,Naisbitt_1992
Chamaecrista_fagoniodes,Chamaecrista_fagoniodes,Absus,TRUE,na,Sprent_2009
Chamaecrista_falcinella,Chamaecrista_falcinella,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_fasciculata,Chamaecrista_fasciculata,Chamaecrista,TRUE,SYM,Naisbitt_1992; Casaes_2024
na,Chamaecrista_fenarolia,na,TRUE,na,Sprent_2009
Chamaecrista_flexuosa,Chamaecrista_flexuosa,Chamaecrista,TRUE,SYM,Naisbitt_1992; Casaes_2024
Chamaecrista_geminata,Chamaecrista_geminata,Absus,TRUE,na,Sprent_2009
Chamaecrista_glandulosa,Chamaecrista_glandulosa,Chamaecrista,TRUE,na,de_Faria_unpublished
Chamaecrista_gracilior,Chamaecrista_gracilior,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_hedysaroides,Chamaecrista_hedysaroides,Absus,TRUE,na,de_Faria_unpublished
Chamaecrista_hispidula,Chamaecrista_hispidula,Absus,TRUE,na,de_Faria_unpublished
na,Chamaecrista_hirsuta,na,TRUE,na,Sprent_2009
Chamaecrista_isidorea,Chamaecrista_isidorea,Absus,TRUE,na,Sprent_2009
Chamaecrista_jacobinea,Chamaecrista_jacobinea,Absus,TRUE,SYM,James_Whitty_Sprent_unpublished
Chamaecrista_kunthiana,Chamaecrista_kunthiana,Chamaecrista,TRUE,SYM,James_Whitty_Sprent_unpublished
Chamaecrista_leptadenia,Chamaecrista_leptadenia,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_leschenaultiana,Chamaecrista_leschenaultiana,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_lineata,Chamaecrista_lineata,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_mimosoides,Chamaecrista_mimosoides,Chamaecrista,TRUE,SYM,Naisbitt_1992
Chamaecrista_mucronata,Chamaecrista_mucronata,Chamaecrista,TRUE,FT-SYM,James_Whitty_Sprent_unpublished
Chamaecrista_neesiana,Chamaecrista_neesiana,Absus,TRUE,na,Sprent_2009
Chamaecrista_negrensis,Chamaecrista_negrensis,Apoucouita,TRUE,na,de_Faria_unpublished
Chamaecrista_nictitans,Chamaecrista_nictitans,Chamaecrista,TRUE,SYM,Naisbitt_1992
Chamaecrista_nomame,Chamaecrista_nomame,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_orbiculata,Chamaecrista_orbiculata,Absus,TRUE,na,Sprent_2009
Chamaecrista_onusta,Chamaecrista_onusta,Apoucouita,TRUE,na,Nogueira_upublished
Chamaecrista_parva,Chamaecrista_parva,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_pascuorum,Chamaecrista_pascuorum,Chamaecrista,TRUE,SYM,Casaes_2024
Chamaecrista_nictitans,Chamaecrista_patellaria,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_pilosa,Chamaecrista_pilosa,Chamaecrista,TRUE,na,James_Whitty_Sprent_unpublished
Chamaecrista_polytricha,Chamaecrista_polytricha,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_potentilla,Chamaecrista_potentilla,Chamaecrista,TRUE,FT-SYM,James_Whitty_Sprent_unpublished
Chamaecrista_pumila,Chamaecrista_pumila,Chamaecrista,TRUE,FT-SYM,Rathi_2018
Chamaecrista_ramosa,Chamaecrista_ramosa,Chamaecrista,TRUE,FT-SYM,Casaes_2024
Chamaecrista_repens,Chamaecrista_repens,Chamaecrista,TRUE,FT-SYM,Casaes_2024
Chamaecrista_rotundata,Chamaecrista_rotundata,Chamaecrista,TRUE,FT-SYM,James_Whitty_Sprent_unpublished
Chamaecrista_rotundifolia,Chamaecrista_rotundifolia,Chamaecrista,TRUE,SYM,Ferreira_dos_Santos_2017
Chamaecrista_salvatoris,Chamaecrista_salvatoris,Absus,TRUE,na,de_Faria_unpublished
Chamaecrista_serpens,Chamaecrista_serpens,Chamaecrista,TRUE,SYM,Casaes_2024
Chamaecrista_stricta,Chamaecrista_stricta,Chamaecrista,TRUE,SYM,James_unpublished
Chamaecrista_nictitans,Chamaecrista_stenocarpa,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_supplex,Chamaecrista_supplex,Chamaecrista,TRUE,SYM,Casaes_2024; Ferreira_dos_Santos_2017
Chamaecrista_glandulosa,Chamaecrista_swartzii,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_tragacanthoides,Chamaecrista_tragacanthoides,Chamaecrista,TRUE,na,James_Whitty_Sprent_unpublished
Chamaecrista_venulosa,Chamaecrista_venulosa,Chamaecrista,TRUE,na,James_Whitty_Sprent_unpublished
Chamaecrista_viscosa,Chamaecrista_viscosa,Absus,TRUE,SYM,James_Whitty_Sprent_unpublished
Chamaecrista_wittei,Chamaecrista_wittei,Chamaecrista,TRUE,na,Sprent_2009
Chamaecrista_zygophylloides,Chamaecrista_zygophylloides,Absus,TRUE,FT-SYM,Casaes_2024
Chamaecrista_xinguensis,Chamaecrista_xinguensis,Chamaecrista,TRUE,na,de_Faria_unpublished
